Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Number of Related Bills,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill
H.R. 1327,https://www.congress.gov/bill/116th-congress/house-bill/1327,116th Congress (2019-2020),"Never Forget the Heroes: James Zadroga, Ray Pfeifer, and Luis Alvarez Permanent Authorization of the September 11th Victim Compensation Fund Act","Maloney, Carolyn B. [Rep.-D-NY-12]",Democratic,02/25/2019,Became Public Law No: 116-34.,07/29/2019,2,S.546,H.Res.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1253,https://www.congress.gov/bill/116th-congress/house-bill/1253,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 13507 Van Nuys Boulevard in Pacoima, California, as the Ritchie Valens Post Office Building.","Cárdenas, Tony [Rep.-D-CA-29]",Democratic,02/14/2019,Became Public Law No: 116-81.,12/12/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1252,https://www.congress.gov/bill/116th-congress/house-bill/1252,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 6531 Van Nuys Boulevard in Van Nuys, California, as the Marilyn Monroe Post Office.","Cárdenas, Tony [Rep.-D-CA-29]",Democratic,02/14/2019,Became Public Law No: 116-80.,12/12/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1250,https://www.congress.gov/bill/116th-congress/house-bill/1250,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 11158 Highway 146 North in Hardin, Texas, as the ""Lucas Lowe Memorial Post Office"".","Babin, Brian [Rep.-R-TX-36]",Republican,02/14/2019,Became Public Law No: 116-55.,08/23/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1240,https://www.congress.gov/bill/116th-congress/house-bill/1240,116th Congress (2019-2020),Young Fishermen's Development Act,"Young, Don [Rep.-R-AK-At Large]",Republican,02/14/2019,Became Public Law No: 116-289.,01/05/2021,1,S.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1222,https://www.congress.gov/bill/116th-congress/house-bill/1222,116th Congress (2019-2020),Target Practice and Marksmanship Training Support Act,"Kind, Ron [Rep.-D-WI-3]",Democratic,02/14/2019,Became Public Law No: 116-17.,05/10/2019,3,S.47,S.94,S.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1200,https://www.congress.gov/bill/116th-congress/house-bill/1200,116th Congress (2019-2020),Veterans' Compensation Cost-of-Living Adjustment Act of 2019,"Luria, Elaine G. [Rep.-D-VA-2]",Democratic,02/13/2019,Became Public Law No: 116-58.,09/26/2019,3,S.2072,H.R.6168,S.4579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1198,https://www.congress.gov/bill/116th-congress/house-bill/1198,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 404 South Boulder Highway in Henderson, Nevada, as the Henderson Veterans Memorial Post Office Building.","Lee, Susie [Rep.-D-NV-3]",Democratic,02/13/2019,Became Public Law No: 116-45.,08/21/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1158,https://www.congress.gov/bill/116th-congress/house-bill/1158,116th Congress (2019-2020),"Consolidated Appropriations Act, 2020","McCaul, Michael T. [Rep.-R-TX-10]",Republican,02/13/2019,Became Public Law No: 116-93.,12/20/2019,15,S.315,H.R.1865,H.R.2968,H.R.3351,H.R.3931,S.2474,S.2524,S.2582,S.2584,H.R.2968,H.R.3055,H.R.3351,H.R.3931,H.Con.Res.81,H.Res.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1138,https://www.congress.gov/bill/116th-congress/house-bill/1138,116th Congress (2019-2020),"To reauthorize the West Valley demonstration project, and for other purposes.","Reed, Tom [Rep.-R-NY-23]",Republican,02/11/2019,Became Public Law No: 116-95.,12/20/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1123,https://www.congress.gov/bill/116th-congress/house-bill/1123,116th Congress (2019-2020),Divisional Realignment for the Eastern District of Arkansas Act of 2019,"Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]",Republican,02/08/2019,Became Public Law No: 116-73.,11/26/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1079,https://www.congress.gov/bill/116th-congress/house-bill/1079,116th Congress (2019-2020),Creating Advanced Streamlined Electronic Services for Constituents Act of 2019,"Graves, Garret [Rep.-R-LA-6]",Republican,02/07/2019,Became Public Law No: 116-50.,08/22/2019,1,S.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1058,https://www.congress.gov/bill/116th-congress/house-bill/1058,116th Congress (2019-2020),"Autism Collaboration, Accountability, Research, Education, and Support Act of 2019","Smith, Christopher H. [Rep.-R-NJ-4]",Republican,02/07/2019,Became Public Law No: 116-60.,09/30/2019,1,S.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 991,https://www.congress.gov/bill/116th-congress/house-bill/991,116th Congress (2019-2020),Extension of the Caribbean Basin Economic Recovery Act,"Sewell, Terri A. [Rep.-D-AL-7]",Democratic,02/06/2019,Became Public Law No: 116-164.,10/10/2020,1,S.2473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 943,https://www.congress.gov/bill/116th-congress/house-bill/943,116th Congress (2019-2020),Never Again Education Act,"Maloney, Carolyn B. [Rep.-D-NY-12]",Democratic,01/31/2019,Became Public Law No: 116-141.,05/29/2020,1,S.2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 887,https://www.congress.gov/bill/116th-congress/house-bill/887,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 877 East 1200 South in Orem, Utah, as the Jerry C. Washburn Post Office Building.","Curtis, John R. [Rep.-R-UT-3]",Republican,01/30/2019,Became Public Law No: 116-79.,12/12/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 886,https://www.congress.gov/bill/116th-congress/house-bill/886,116th Congress (2019-2020),Veteran Treatment Court Coordination Act of 2019,"Crist, Charlie [Rep.-D-FL-13]",Democratic,01/30/2019,Became Public Law No: 116-153.,08/08/2020,1,S.2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 866,https://www.congress.gov/bill/116th-congress/house-bill/866,116th Congress (2019-2020),Fairness For Breastfeeding Mothers Act of 2019,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",Democratic,01/30/2019,Became Public Law No: 116-30.,07/25/2019,2,S.528,S.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 835,https://www.congress.gov/bill/116th-congress/house-bill/835,116th Congress (2019-2020),Rodchenkov Anti-Doping Act of 2019,"Jackson Lee, Sheila [Rep.-D-TX-18]",Democratic,01/29/2019,Became Public Law No: 116-206.,12/04/2020,1,S.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 831,https://www.congress.gov/bill/116th-congress/house-bill/831,116th Congress (2019-2020),Reviving America's Scenic Byways Act of 2019,"Cicilline, David N. [Rep.-D-RI-1]",Democratic,01/29/2019,Became Public Law No: 116-57.,09/22/2019,3,S.349,S.2302,S.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 829,https://www.congress.gov/bill/116th-congress/house-bill/829,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 1450 Montauk Highway in Mastic, New York, as the Army Specialist Thomas J. Wilwerth Post Office Building.","Zeldin, Lee M. [Rep.-R-NY-1]",Republican,01/28/2019,Became Public Law No: 116-44.,08/21/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 828,https://www.congress.gov/bill/116th-congress/house-bill/828,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 25 Route 111 in Smithtown, New York, as the ""Congressman Bill Carney Post Office"".","Zeldin, Lee M. [Rep.-R-NY-1]",Republican,01/28/2019,Became Public Law No: 116-43.,08/21/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 777,https://www.congress.gov/bill/116th-congress/house-bill/777,116th Congress (2019-2020),Debbie Smith Reauthorization Act of 2019,"Maloney, Carolyn B. [Rep.-D-NY-12]",Democratic,01/24/2019,Became Public Law No: 116-104.,12/30/2019,2,S.820,S.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 776,https://www.congress.gov/bill/116th-congress/house-bill/776,116th Congress (2019-2020),Emergency Medical Services for Children Program Reauthorization Act of 2019,"King, Peter T. [Rep.-R-NY-2]",Republican,01/24/2019,Became Public Law No: 116-49.,08/22/2019,2,S.1173,S.1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 748,https://www.congress.gov/bill/116th-congress/house-bill/748,116th Congress (2019-2020),CARES Act,"Courtney, Joe [Rep.-D-CT-2]",Democratic,01/24/2019,Became Public Law No: 116-136.,03/27/2020,50,H.R.1865,H.R.2452,S.684,H.R.1869,H.R.1922,H.R.2150,H.R.3443,H.R.4801,H.R.5202,H.R.5443,S.296,S.460,S.803,S.1399,S.2619,S.2629,S.2740,S.2913,S.2997,S.3374,S.3437,S.3438,S.3496,S.3497,S.3548,H.Res.911,S.3468,H.R.6283,H.R.6299,S.3505,H.R.6304,H.R.6335,H.R.6377,S.3478,S.3527,H.R.6357,H.R.6282,S.3504,H.R.6315,H.R.6372,H.R.6508,S.3585,S.3519,S.3539,H.R.6551,H.R.6324,H.R.6327,S.1045,H.R.8213,S.4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 724,https://www.congress.gov/bill/116th-congress/house-bill/724,116th Congress (2019-2020),PACT Act,"Deutch, Theodore E. [Rep.-D-FL-22]",Democratic,01/23/2019,Became Public Law No: 116-72.,11/25/2019,1,S.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 639,https://www.congress.gov/bill/116th-congress/house-bill/639,116th Congress (2019-2020),To amend section 327 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act to clarify that National Urban Search and Rescue Response System task forces may include Federal employees.,"Hartzler, Vicky [Rep.-R-MO-4]",Republican,01/17/2019,Became Public Law No: 116-48.,08/22/2019,3,S.1521,S.1521,S.1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 583,https://www.congress.gov/bill/116th-congress/house-bill/583,116th Congress (2019-2020),PIRATE Act,"Tonko, Paul [Rep.-D-NY-20]",Democratic,01/16/2019,Became Public Law No: 116-109.,01/24/2020,2,S.1228,S.1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 561,https://www.congress.gov/bill/116th-congress/house-bill/561,116th Congress (2019-2020),Protecting Business Opportunities for Veterans Act of 2019,"Bergman, Jack [Rep.-R-MI-1]",Republican,01/15/2019,Became Public Law No: 116-183.,10/30/2020,2,S.3282,S.3282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 559,https://www.congress.gov/bill/116th-congress/house-bill/559,116th Congress (2019-2020),Northern Mariana Islands Long-Term Legal Residents Relief Act,"Sablan, Gregorio Kilili Camacho [Del.-D-MP-At Large]",Democratic,01/15/2019,Became Public Law No: 116-24.,06/25/2019,1,H.R.560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 540,https://www.congress.gov/bill/116th-congress/house-bill/540,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 770 Ayrault Road in Fairport, New York, as the Louise and Bob Slaughter Post Office.","Morelle, Joseph D. [Rep.-D-NY-25]",Democratic,01/14/2019,Became Public Law No: 116-42.,08/21/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 504,https://www.congress.gov/bill/116th-congress/house-bill/504,116th Congress (2019-2020),DHS Field Engagement Accountability Act,"Bacon, Don [Rep.-R-NE-2]",Republican,01/11/2019,Became Public Law No: 116-116.,03/02/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 473,https://www.congress.gov/bill/116th-congress/house-bill/473,116th Congress (2019-2020),"To authorize the Every Word We Utter Monument to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Neguse, Joe [Rep.-D-CO-2]",Democratic,01/10/2019,Became Public Law No: 116-217.,12/17/2020,1,S.1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
